geometry,address
POINT (-8.453900035682096 51.90923998221254),"11 Springmount Place, Cork"
POINT (-8.444499982727933 51.86460001946642),"2 Glenside, Douglas, Cork"
POINT (-8.468829965437209 51.93711999428325),"The Bungalow, Kilcully, Cork"
POINT (-8.51018996374225 51.886830000154134),"12 Laburnum Lawn, Cork"
POINT (-8.495230026773754 51.86439998534712),"9 West Avenue, Lehenaghmore, Cork"
POINT (-8.63119002833551 51.88438001176547),"25 The Elms, Ballincollig, Cork"
POINT (-8.475900016946667 51.9149100044346),"42 Cushing Road, Farranree, Cork"
POINT (-8.650239998777522 51.872680006489475),"16 Grange Court, Grange, Cork"
POINT (-8.429459998584093 51.869640015936284),"77 Welwyn Road, Douglas, Cork"
POINT (-8.437650039995845 51.91310999072766),"77 Avonmore Park, Mayfield, Cork"
POINT (-8.472329996746197 51.90115999518949),"Camden Wharf, APARTMENT 1 Camden Quay, Cork"
POINT (-8.47208129673154 51.88693273822852),"Derrynane Road, Cork"
POINT (-8.453979999038381 51.91523999996261),"Glenisle, Riverview Estate, Ballyvolane, Cork"
POINT (-8.492689974835457 51.87130998441546),"56 Palmbury, Cork"
POINT (-8.582239965248021 51.89265999099828),"206 The Willows, Ballincollig, Cork"
POINT (-8.413239999999973 51.90044000000006),Cork
POINT (-8.500870041782434 51.906019990288655),"75 Harbour View Road, Knocknaheeny, Cork"
POINT (-8.448320141810003 51.88974692740319),"Ballinlough Road, Cork"
POINT (-8.493430013066813 51.87240998347869),"65 Palmbury Orchard, Cork"
POINT (-8.46717001333235 51.88689001458087),"15 O'Connell Crescent, Cork"
POINT (-8.467079991692259 51.89418998169441),"Block B, APARTMENT 14 South Terrace, Cork"
POINT (-9.169299999999964 51.601500000000044),"Ballinlough, Skibbereen, Cork"
POINT (-8.47722253270855 51.8952396661649),"French's Quay, Cork"
POINT (-8.475630035845398 51.90509999259612),"18 Lower Barrack View, Cork"
POINT (-8.458449984182806 51.86729999811729),"1 The Village, Cork"
POINT (-8.417646272037427 51.8724980551392),"61 Elden, Douglas, Cork"
POINT (-8.471509995158527 51.905390006446),"20 Goldsmiths Avenue, Cork"
POINT (-8.417839998573925 51.896180013146335),"13 Post Office Avenue, Blackrock, Cork"
POINT (-8.505589975279577 51.87980998860664),"32 Wilton Court, Cork"
POINT (-8.489609960694622 51.91118999007679),"164 Mount Agnes Road, Cork"
POINT (-8.493349965891497 51.90404999158534),"35 Chapel Field, Gurranebraher, Cork"
POINT (-8.446399992539739 51.913380013738475),"22 Oakpark, Ballyvolane, Cork"
POINT (-8.48132000699701 51.90153998876994),"5 North Abbey Square, Cork"
POINT (-8.457980010871779 51.87041999393628),"98 East Avenue, Cork"
POINT (-8.460310012316484 51.90621998249844),"6 Mount Vernon Terrace, Cork"
POINT (-8.477489980160016 51.91358000594823),"25 Seminary Walk, Farranree, Cork"
POINT (-8.494481633962415 51.88978533524552),"Magazine Road, Cork"
POINT (-8.51046002866255 51.90101000103215),"35 Hollywood Estate, Cork"
POINT (-8.506190035727883 51.89241000073608),"Saint Josephs, Victoria Villas, Cork"
POINT (-8.472213170267828 51.86740149882767),"Curraghconway Court, Ballycurreen, Cork"
POINT (-8.433409970455529 51.912940005731286),"11 Springfield Estate, Mayfield, Cork"
POINT (-8.404329963216725 51.92377998583194),"2 The Pines, Castlejane Wood, Cork"
POINT (-8.627039980435285 51.88564999582508),"9 Berryfield, Ballincollig, Cork"
POINT (-8.468359992126182 51.89428000333453),"Rutland Place, APARTMENT 1 South Terrace, Cork"
POINT (-8.502690004418923 51.902040011203866),"41 Monastery Terrace, Cork"
POINT (-8.475180011463891 51.9042499837951),"16 Church Avenue, Cork"
POINT (-8.422730000886474 51.90685998271539),"83 Ashmount Mews, Cork"
POINT (-8.38688998873667 51.93583999384933),"24 Oakfield View, Riverstown, Cork"
POINT (-8.463216528650939 51.90515607094947),"6 Ferncliffe Villas, Cork"
POINT (-8.486059973242732 51.880379999932074),"13 Charles Daly Road, Cork"
POINT (-8.615796703127275 51.88561685943076),"The Old Quarry, Ballincollig, Cork"
POINT (-8.460470022848085 51.889639991284184),"Franconia, 10 Roseville, Cork"
POINT (-8.4719499612562 51.90028999554937),"Quay House, APARTMENT 1 Lavitt's Quay, Cork"
POINT (-8.484960016089019 51.8865000046261),"Locmor, 1 Fairy Lawn, Cork"
POINT (-8.440090012010216 51.88829000195875),"The Well, Ballinlough Road, Cork"
POINT (-8.371579999999938 51.87779000000006),"Rochestown, Cork"
POINT (-8.523240000253196 51.87678998889251),"Innisfree, Bishopstown Road, Cork"
POINT (-8.435929999999928 51.87721000000005),"Douglas, Cork"
POINT (-8.489399994020062 51.88653998630426),"Ardara, Hartland's Avenue, Cork"
POINT (-8.433063165659712 51.87578192366212),"6 The Gardens, Douglas, Cork"
POINT (-8.457309961531934 51.902480019211055),"Arcadia Hall, APARTMENT 1 Lower Glanmire Road, Cork"
POINT (-8.424520040128613 51.95313001608156),"113 Ros Árd, Ballinvuskig, Cork"
