Address,Price,Beds,Baths,Area,Latitude,Longitude,geometry
"Apartment 50B, South Terrace Court, Cork City, Co. Cork",240000,3,1,60,51.89417449526796,-8.465368767253185,POINT (-8.465368767253185 51.89417449526796)
"3 Millstream Row, Cork City, Co. Cork",215000,2,1,59,51.93378998988018,-8.564850030729957,POINT (-8.564850030729957 51.93378998988018)
"27 Fort Hill, Moneygurney, Douglas, Co. Cork",240000,2,2,70,51.86392547896159,-8.407956522863424,POINT (-8.407956522863424 51.86392547896159)
"12 Sharman Avenue, Crawford Gate, Blackrock, Co. Cork",425000,4,3,119,51.88747000037108,-8.411040011984767,POINT (-8.411040011984767 51.88747000037108)
"71 Cluain Ard, Blarney, Co. Cork",345000,3,3,124,51.93672998432848,-8.56710995946412,POINT (-8.56710995946412 51.93672998432848)
"Pinewood, Healy's Bridge, Carrigrohane, Co. Cork",449000,4,3,131,51.90273770822427,-8.574877191643205,POINT (-8.574877191643205 51.90273770822427)
"13 Farren Street, Blackpool, Co. Cork",75000,1,1,35,51.90583998891796,-8.477549994586752,POINT (-8.477549994586752 51.90583998891796)
"10 The Paddocks, Maryborough Hill, Douglas, Co. Cork",895000,4,3,209,51.8740400121892,-8.427310040419599,POINT (-8.427310040419599 51.8740400121892)
"101 Commons Road, Cork City, Co. Cork",225000,3,2,85,51.91645001150502,-8.474780027044375,POINT (-8.474780027044375 51.91645001150502)
"72 Southbury Road, Wilton, Glasheen, Co. Cork",295000,3,1,102,51.87762000685447,-8.502669971670343,POINT (-8.502669971670343 51.87762000685447)
"12 Harley Wood, Togher, Togher (Cork City), Co. Cork",365000,4,3,120,51.87726000411308,-8.49529004120049,POINT (-8.49529004120049 51.87726000411308)
"53 Skehard Road, Blackrock, Co. Cork",385000,3,1,107,51.88755000563691,-8.423800034645865,POINT (-8.423800034645865 51.88755000563691)
"Apartment 63, Castlejane Court, Glanmire, Co. Cork",210000,2,1,70,51.92356902062836,-8.408215356371784,POINT (-8.408215356371784 51.923569020628356)
"Apartment 55, Castlejane Court, Glanmire, Co. Cork",210000,2,1,70,51.92356902062836,-8.408215356371784,POINT (-8.408215356371784 51.923569020628356)
"6 Red Abbey Street, Cork City, Co. Cork",150000,1,1,60,51.89393001696743,-8.472469974529218,POINT (-8.472469974529218 51.89393001696743)
"11 Spring Mount Place, Dillons Cross, Dillons Cross, Co. Cork",165000,3,1,75,51.90923998221254,-8.453900035682096,POINT (-8.453900035682096 51.90923998221254)
"2 Glenside, Grange, Douglas, Co. Cork",295000,5,2,147,51.86460001946642,-8.444499982727933,POINT (-8.444499982727933 51.86460001946642)
"Crowley's Bungalow, Rathpeacon, Co. Cork",325000,3,2,120,51.93711999428325,-8.468829965437209,POINT (-8.468829965437209 51.93711999428325)
"Allolee, 12 Laburnum Lawn, Model Farm Road, Co. Cork",750000,4,4,200,51.88683000015413,-8.51018996374225,POINT (-8.51018996374225 51.886830000154134)
"9 West Avenue, Laurel Brook, Lehenaghmore, Co. Cork",385000,4,2,105,51.86439998534712,-8.495230026773754,POINT (-8.495230026773754 51.86439998534712)
"Apartment 25, The Elms, Wentworth Gardens, Wilton, Co. Cork",229000,2,1,65,51.88438001176547,-8.63119002833551,POINT (-8.63119002833551 51.88438001176547)
"Saint Martins, 42 Cushing Road, Farranree, Co. Cork",220000,2,1,68,51.9149100044346,-8.475900016946667,POINT (-8.475900016946667 51.9149100044346)
"16 Ashford Court, Grange, Grange, Co. Cork",285000,3,1,91,51.87268000648948,-8.650239998777522,POINT (-8.650239998777522 51.872680006489475)
"77 Welwyn Road, Maryborough Woods, Douglas, Co. Cork",330000,3,2,107,51.86964001593629,-8.429459998584093,POINT (-8.429459998584093 51.869640015936284)
"77 Avonmore Park, Mayfield, Mayfield, Co. Cork",185000,3,1,81,51.91310999072766,-8.437650039995845,POINT (-8.437650039995845 51.91310999072766)
"Apartment 36, Camden Wharf, Cork City Centre",380000,2,2,83,51.90115999518949,-8.472329996746197,POINT (-8.472329996746197 51.90115999518949)
"15 Saint Josephs Terrace, Derrynane Road, Turners Cross, Co. Cork",275000,3,1,70,51.88693273822852,-8.47208129673154,POINT (-8.47208129673154 51.88693273822852)
"Glenisle, Riverview Estate, Ballyvolane, Co. Cork",350000,5,2,177,51.91523999996261,-8.453979999038381,POINT (-8.453979999038381 51.91523999996261)
"56 Palmbury, Togher, Togher, Co. Cork",195000,2,1,57,51.87130998441546,-8.492689974835457,POINT (-8.492689974835457 51.87130998441546)
"206 The Willows, Leesdale, Ballincollig, Co. Cork",275000,3,1,88,51.89265999099828,-8.582239965248021,POINT (-8.582239965248021 51.89265999099828)
"Rectory Cottage Ministers Cross Cork, Model Farm Road, Co. Cork",320000,3,1,80,51.90044000000006,-8.413239999999973,POINT (-8.413239999999973 51.90044000000006)
"75 Harbour View Road, Knocknaheeny, Co. Cork",195000,3,1,72,51.906019990288655,-8.500870041782434,POINT (-8.500870041782434 51.906019990288655)
"4 Glencoo Lawn, Boreenmanna Road, Ballinlough, Co. Cork",535000,5,4,194,51.88974692740319,-8.448320141810003,POINT (-8.448320141810003 51.88974692740319)
"65 Palmbury Orchard, Togher, Togher (Cork City), Co. Cork",190000,2,1,57,51.87240998347869,-8.493430013066813,POINT (-8.493430013066813 51.87240998347869)
"15 O'Connell Crescent, Turners Cross, Turners Cross, Co. Cork",290000,3,2,80,51.88689001458087,-8.46717001333235,POINT (-8.46717001333235 51.88689001458087)
"Apartment 33, Block B, South Terrace Court, Cork City, Co. Cork",210000,2,1,50,51.89418998169441,-8.467079991692259,POINT (-8.467079991692259 51.89418998169441)
"16 Silverdale Road, Ballinlough, Ballinlough, Co. Cork",335000,3,2,118,51.60150000000005,-9.169299999999964,POINT (-9.169299999999964 51.601500000000044)
"5 Saint Dominick's Terrace, French's Quay, Cork City Centre",200000,2,1,49,51.8952396661649,-8.47722253270855,POINT (-8.47722253270855 51.8952396661649)
"18 Lower Barrack View, Shandon, Cork City, Co. Cork",170000,2,1,46,51.90509999259612,-8.475630035845398,POINT (-8.475630035845398 51.90509999259612)
"1 The Village, Parkgate, Frankfield, Douglas, Co. Cork",895000,6,5,269,51.86729999811729,-8.458449984182806,POINT (-8.458449984182806 51.86729999811729)
"61 Elden, Maryborough Hill, Douglas, Co. Cork",365000,2,2,107,51.8724980551392,-8.417646272037427,POINT (-8.417646272037427 51.8724980551392)
"20 Goldsmith's Avenue, Richmond Hill, Cork City, Co. Cork",195000,2,1,52,51.905390006446,-8.471509995158527,POINT (-8.471509995158527 51.905390006446)
"13 Post Office Avenue, Blackrock, Blackrock, Co. Cork",225000,2,1,69,51.896180013146335,-8.417839998573925,POINT (-8.417839998573925 51.896180013146335)
"32 Wilton Court, Wilton, Co. Cork",320000,4,2,109,51.87980998860664,-8.505589975279577,POINT (-8.505589975279577 51.87980998860664)
"164 Mount Agnes Road, Fairhill, Cork City, Co. Cork",190000,2,1,73,51.91118999007679,-8.489609960694622,POINT (-8.489609960694622 51.91118999007679)
"35 Chapelfield, Gurranabraher, Co. Cork",275000,2,3,97,51.90404999158534,-8.493349965891497,POINT (-8.493349965891497 51.90404999158534)
"22 Oakpark, Ballyhooly Road, Ballyvolane, Co. Cork",285000,3,2,93,51.91338001373848,-8.446399992539739,POINT (-8.446399992539739 51.913380013738475)
"5 North Abbey Square, North Mall, Cork City Centre",250000,3,2,91,51.90153998876994,-8.48132000699701,POINT (-8.48132000699701 51.90153998876994)
"98 East Avenue, Park Gate, Frankfield, Co. Cork",455000,4,3,146,51.87041999393628,-8.457980010871779,POINT (-8.457980010871779 51.87041999393628)
"6 Mount Vernon Terrace, Saint Lukes, St. Lukes, Co. Cork",285000,3,1,88,51.90621998249844,-8.460310012316484,POINT (-8.460310012316484 51.90621998249844)
"25 Seminary Walk, Farranree, Farranree, Co. Cork",175000,3,1,68,51.91358000594823,-8.477489980160016,POINT (-8.477489980160016 51.91358000594823)
"Rosemary, Lima Lawn, Magazine Road, Cork, Glasheen, Co. Cork",600000,3,1,97,51.88978533524552,-8.494481633962415,POINT (-8.494481633962415 51.88978533524552)
"35 Hollywood Estate, Blarney Road, Cork City, Co. Cork",220000,3,1,77,51.90101000103215,-8.51046002866255,POINT (-8.51046002866255 51.90101000103215)
"""Saint Joseph's"", Victoria Villas, Victoria Cross, Co. Cork",320000,3,1,116,51.89241000073608,-8.506190035727883,POINT (-8.506190035727883 51.89241000073608)
"16 Curraghconway Court, Ballycurreen, Frankfield, Co. Cork",285000,3,3,95,51.86740149882767,-8.472213170267828,POINT (-8.472213170267828 51.86740149882767)
"11 Springfield Estate, Mayfield, Mayfield, Co. Cork",285000,3,2,90,51.912940005731286,-8.433409970455529,POINT (-8.433409970455529 51.912940005731286)
"Apartment 2, The Pines, Wentworth Gardens, Wilton, Co. Cork",200000,2,1,63,51.92377998583194,-8.404329963216725,POINT (-8.404329963216725 51.92377998583194)
"9 Berryfield, Classes Lake, Ballincollig, Co. Cork",475000,4,3,131,51.88564999582508,-8.627039980435285,POINT (-8.627039980435285 51.88564999582508)
"Apt 2, Rutland Place, South Terrace, Cork, Cork City Centre",225000,2,2,67,51.89428000333453,-8.468359992126182,POINT (-8.468359992126182 51.89428000333453)
"41 Monastery Terrace, Blarney Road, Cork City, Co. Cork",325000,3,2,115,51.902040011203866,-8.502690004418923,POINT (-8.502690004418923 51.902040011203866)
"16 Church Avenue, Roman Street, Cork City, Co. Cork",220000,2,1,43,51.9042499837951,-8.475180011463891,POINT (-8.475180011463891 51.9042499837951)
"83 Ashmount Mews, Silversprings, Silversprings, Co. Cork",270000,3,3,93,51.90685998271539,-8.422730000886474,POINT (-8.422730000886474 51.90685998271539)
"24 Oakfield View, Glanmire, Co. Cork",295000,3,2,85,51.93583999384933,-8.38688998873667,POINT (-8.38688998873667 51.93583999384933)
"Gortaclohane, 6 Ferncliff Villas, Bellevue Park, St. Lukes, Co. Cork",585000,5,3,180,51.90515607094947,-8.463216528650939,POINT (-8.463216528650939 51.90515607094947)
"13 Charles Daly Road, Togher, Togher (Cork City), Co. Cork",265000,2,1,54,51.88037999993208,-8.486059973242732,POINT (-8.486059973242732 51.880379999932074)
"Apartment 4, The Old Quarry, Ballincollig, Co. Cork",270000,2,2,70,51.88561685943076,-8.615796703127275,POINT (-8.615796703127275 51.88561685943076)
"Franconia, 10 Roseville Terrace, Douglas, Co. Cork",275000,5,3,125,51.88963999128418,-8.460470022848085,POINT (-8.460470022848085 51.889639991284184)
"Apartment 8, Quay House, Cork City Centre",279000,2,2,67,51.90028999554937,-8.4719499612562,POINT (-8.4719499612562 51.90028999554937)
"Locmor, Fairy Lawn, The Lough, Cork, Cork City Centre",510000,3,2,104,51.8865000046261,-8.484960016089019,POINT (-8.484960016089019 51.8865000046261)
"2 The Well, Ballinlough Road, Ballinlough, Co. Cork",230000,2,1,60,51.88829000195875,-8.440090012010216,POINT (-8.440090012010216 51.88829000195875)
"59 Ardkeale, Mount Oval Village, Rochestown, Co. Cork",280000,2,2,71,51.87779000000006,-8.371579999999938,POINT (-8.371579999999938 51.87779000000006)
"Innisfree, Ardrostig, Waterfall, Co. Cork",750000,5,4,200,51.87678998889251,-8.523240000253196,POINT (-8.523240000253196 51.87678998889251)
"59 Ardkeale, Mount Oval Village, Douglas, Co. Cork",280000,2,2,71,51.87721000000005,-8.435929999999928,POINT (-8.435929999999928 51.87721000000005)
"Ardara, Hartland's Avenue, Glasheen, Co. Cork",295000,3,2,190,51.88653998630426,-8.489399994020062,POINT (-8.489399994020062 51.88653998630426)
"6 The Gardens, Douglas, Douglas, Co. Cork",240000,1,1,52,51.87578192366212,-8.433063165659712,POINT (-8.433063165659712 51.87578192366212)
"Apartment 28, Arcadia Hall, Cork City, Co. Cork",235000,4,2,75,51.902480019211055,-8.457309961531934,POINT (-8.457309961531934 51.902480019211055)
"113 Ros Árd, White's Cross, Co. Cork",275000,3,3,93,51.95313001608156,-8.424520040128613,POINT (-8.424520040128613 51.95313001608156)
"43 Old Avenue, Glanmire, Glanmire, Co. Cork",335000,4,3,119,51.931320010652456,-8.388429995807087,POINT (-8.388429995807087 51.931320010652456)
"15 The Crescent, Lios Cara, Killeens, Co. Cork",355000,4,3,147,51.92821837205904,-8.511915513461355,POINT (-8.511915513461355 51.92821837205904)
"6 Laureston Lawn, Tower, Blarney, Co. Cork",345000,3,2,99,51.92577001728387,-8.615970000911489,POINT (-8.615970000911489 51.92577001728387)
"336 Blarney Street, Cork City, Co. Cork",230000,3,1,81,51.90165000124912,-8.485490003826783,POINT (-8.485490003826783 51.90165000124912)
"11 Greenlodge, Maryborough Woods, Douglas, Co. Cork",210000,1,1,51,51.87168844455461,-8.4298915252317,POINT (-8.4298915252317 51.87168844455461)
"5 Windsor Cottages, Ballyhooly Road, Cork City, Co. Cork",225000,2,1,66,51.90690998076784,-8.458080006976644,POINT (-8.458080006976644 51.906909980767836)
"29 The Garnish, Lancaster Gate, Western Road, Co. Cork",370000,2,2,73,51.89588999929646,-8.483450016231956,POINT (-8.483450016231956 51.89588999929646)
"50 Opera Lane Apartment Development , Academy Street, Cork City, Cork City Centre",540000,2,1,120,51.89882001927998,-8.47288001723257,POINT (-8.47288001723257 51.89882001927998)
"Apt 7, Opera Lane Residences, Academy Street, Cork City, Cork City Centre",465000,2,2,91,51.89895799094345,-8.473136491197494,POINT (-8.473136491197494 51.89895799094345)
"84 Caisleán Grove, Ballincollig, Co. Cork",325000,3,3,88,51.88376000238759,-8.607209990083817,POINT (-8.607209990083817 51.88376000238759)
"25 Camden Wharf, Camden Quay, Cork City, Co. Cork",250000,2,1,54,51.90115999518949,-8.472329996746197,POINT (-8.472329996746197 51.90115999518949)
