geometry,address,lon,lat,found_address
POINT (-8.48750995867303 51.93578999579688),"Pinegrove, Carhoo, Lisduff (Whitechurch), Cork",-8.48750995867303,51.93578999579688,"Killendaniel, Rathpeacon, Whitechurch, Cork, County Cork, Munster, T23 WY83, Éire / Ireland"
POINT (-8.599855303981068 51.925415498105835),"5 The Grove, Gleann na Ri, Cork",-8.599855303981068,51.925415498105835,"Gleann na Rí Grove, Tower, Blarney ED, Cork, County Cork, Munster, T23 PW56, Éire / Ireland"
POINT (-8.412420008523583 51.89354998147746),"2 The Well, Blackrock, Cork",-8.412420008523583,51.89354998147746,"Blackrock Grove, Blackrock, Mahon A, Cork, County Cork, Munster, T12 R5Y8, Éire / Ireland"
POINT (-8.487970041338343 51.90460001207171),"18 St Endas Road, Gurranebraher, Cork",-8.487970041338343,51.90460001207171,"Saint Enda's Road, Gurranabraher E, Cork, County Cork, Munster, T23 W08N, Éire / Ireland"
POINT (-8.476169998047965 51.89418998169441),"32 Evergreen Buildings, Cork",-8.476169998047965,51.89418998169441,"Evergreen Buildings, South Gate B, Cork, County Cork, Munster, T12 Y720, Éire / Ireland"
POINT (-8.496399972818978 51.88704000873818),"Saint Clare's, Glasheen Road, Cork",-8.496399972818978,51.88704000873818,"Glasheen Dental Care, Glasheen Road, Glasheen B, Cork, County Cork, Munster, T12 HT97, Éire / Ireland"
POINT (-8.49993001134132 51.873660018608746),"20 Westbury Grove, Cork",-8.49993001134132,51.873660018608746,"Westbury Grove, Inishkenny, Cork, County Cork, Munster, T12 C8VW, Éire / Ireland"
POINT (-8.460229965141139 51.9059899830753),"1 Mount Vernon Terrace, Cork",-8.460229965141139,51.9059899830753,"Victoria Terrace, St. Patrick's C, Cork, County Cork, Munster, T23 T292, Éire / Ireland"
POINT (-8.440650006961391 51.87957001471872),"Summerville, 23 Reeves Wood, Cork",-8.440650006961391,51.87957001471872,"Reeves Wood, Tramore C, Cork, County Cork, Munster, T12 K702, Éire / Ireland"
POINT (-8.531489972272652 51.87947001861383),"62 Uam Var Avenue, Cork",-8.531489972272652,51.87947001861383,"L99461, Bishopstown ED B, Cork, County Cork, Munster, T12 HP29, Éire / Ireland"
POINT (-8.613089978980412 51.92393999636357),"Aine, Model Village, Model Village (Tower), Cork",-8.613089978980412,51.92393999636357,"Tower Hall, Model Village, Tower, Matehy, Cork, County Cork, Munster, T23 YX51, Éire / Ireland"
POINT (-8.453329982447116 51.879210011977335),"62 Greenhills Court, Cork",-8.453329982447116,51.879210011977335,"Greenhills Court, Tramore C, Cork, County Cork, Munster, T12 WV83, Éire / Ireland"
POINT (-8.49255997151721 51.909939996856224),"58 Churchfield Avenue, Cork",-8.49255997151721,51.909939996856224,"Churchfield Avenue, Churchfield ED, Cork, County Cork, Munster, T23 W08N, Éire / Ireland"
POINT (-8.475259974820204 51.90777000594315),"10 O'Connell Street, Cork",-8.475259974820204,51.90777000594315,"4, O'Connell Street, Farranferris A, Cork, County Cork, Munster, T23 V38R, Éire / Ireland"
POINT (-8.470030002514847 51.90977998632462),"10 The Close, Cork",-8.470030002514847,51.90977998632462,"10, Ard Patrick Close, Blackpool ED B, Cork, County Cork, Munster, T23 FX5R, Éire / Ireland"
POINT (-8.485469971078203 51.90829001921614),"25 Inniscarra Road, Cork",-8.485469971078203,51.90829001921614,"Inniscara Road, Churchfield, Fair Hill A, Cork, County Cork, Munster, T23 W08N, Éire / Ireland"
POINT (-8.475229967606822 51.908570016691726),"37 Great William O'Brien Street, Cork",-8.475229967606822,51.908570016691726,"33, Great William O'Brien Street, Farranferris A, Cork, County Cork, Munster, T23 XH61, Éire / Ireland"
POINT (-8.548020007343979 51.892240015739674),"Lizlee, Model Farm Road, Carrigrohane, Cork",-8.548020007343979,51.892240015739674,"Model Farm Road, Ballincollig ED, Cork, County Cork, Munster, T12 WT4A, Éire / Ireland"
POINT (-8.454110002356629 51.88282998832074),"27 Loreto Park, Cork",-8.454110002356629,51.88282998832074,"Loreto Park, Tramore B, Cork, County Cork, Munster, T12 WV83, Éire / Ireland"
POINT (-8.481849994734802 51.901489990717494),"4 Rock Cottages, Cork",-8.481849994734802,51.901489990717494,"Sunday's Well B, Cork, County Cork, Munster, T23 RHW2, Éire / Ireland"
POINT (-8.604170041440142 51.92283999730034),"1 Coolflugh, Tower, Cork",-8.604170041440142,51.92283999730034,"Muskerry Golf Course, Blarney Road, Carrigrohane Beg ED, Cork, County Cork, Munster, T23 W968, Éire / Ireland"
POINT (-8.471549976836684 51.89177000051913),"98 Evergreen Road, Cork",-8.471549976836684,51.89177000051913,"The Dilly Dally Inn, Quaker Road, Evergreen, Cork, County Cork, Munster, T12 V582, Éire / Ireland"
POINT (-8.442569965702745 51.883499995751066),"36 Endsleigh Estate, Cork",-8.442569965702745,51.883499995751066,"Endsleigh Estate, Browningstown ED, Cork, County Cork, Munster, T12 K702, Éire / Ireland"
POINT (-8.514730021597217 51.886680005996794),"12 Bishopstown Avenue, Cork",-8.514730021597217,51.886680005996794,"Bishopstown Avenue West, Bishopstown ED C, Cork, County Cork, Munster, T12 Y9KT, Éire / Ireland"
POINT (-8.48994004004166 51.90127000766864),"4 Wyses Cottages, Cork",-8.48994004004166,51.90127000766864,"281, Blarney Street, Gurranabraher B, Cork, County Cork, Munster, T23 HF50, Éire / Ireland"
POINT (-8.4792500121888 51.90091997939206),"Northgate House, APARTMENT 101 Kyrls Quay, Cork",-8.4792500121888,51.90091997939206,"Supermac's, North Main Street, The Marsh, Centre B ED, Cork, County Cork, Munster, T12 AKA6, Éire / Ireland"
POINT (-8.552899740007419 51.85744222791267),"35 Heatherfield Close, Waterfall, Cork",-8.552899740007419,51.85744222791267,"Heatherfield, Inishkenny, Municipal District of Carrigaline, County Cork, Munster, T12 CYF2, Éire / Ireland"
POINT (-8.484579980599023 51.88840998890271),"2 Westbourne Terrace, Cork",-8.484579980599023,51.88840998890271,"Lough Rd (Opposite Cork Lough Park), Lough Road, The Lough, Cork, County Cork, Munster, T12 KPN3, Éire / Ireland"
POINT (-8.50134001509349 51.90212999093444),"11 Monastery Avenue, Cork",-8.50134001509349,51.90212999093444,"11, Monastery Avenue, Knocknaheeny, Cork, County Cork, Munster, T23 A720, Éire / Ireland"
POINT (-8.452849999999955 51.94032000000004),"Ballinvriskig, Ballinvriskig (Upper Glanmire), Cork",-8.452849999999955,51.94032000000004,"Ballyhooly New Road, Rathcooney, Cork, County Cork, Munster, T23 AE00, Éire / Ireland"
POINT (-8.371579999999938 51.87779000000006),"Rochestown, Cork",-8.371579999999938,51.87779000000006,"Rochestown Road, Garryduff, Douglas, Cork, County Cork, Munster, T12 WV08, Éire / Ireland"
POINT (-8.61274003452283 51.87731000216553),"Kilnaglory Lodge, Greenfield, Ballincollig, Cork",-8.61274003452283,51.87731000216553,"West Village, Ballincollig ED, Cork, County Cork, Munster, P31 VW82, Éire / Ireland"
POINT (-8.401729980670723 51.86862999660366),"60 Foxwood, Cork",-8.401729980670723,51.86862999660366,"Foxwood, Garryduff, Douglas, Cork, County Cork, Munster, T12 ND82, Éire / Ireland"
POINT (-8.454460030633243 51.90913998610765),"106 Old Youghal Road, Cork",-8.454460030633243,51.90913998610765,"106, Old Youghal Road, Montenotte, Montenotte A, Cork, County Cork, Munster, T23 HN40, Éire / Ireland"
POINT (-8.372337065633237 51.87774944861152),"Rochestown Road, Rochestown, Cork",-8.372337065633237,51.87774944861152,"Rochestown Wood House, Rochestown Road, Garryduff, Douglas, Cork, County Cork, Munster, T12 WV08, Éire / Ireland"
POINT (-8.496190006144445 51.877709986585046),"35 Argideen Lawn, Cork",-8.496190006144445,51.877709986585046,"Saint Finbarr's National Hurling and Football club, Deanrock Cottages, Togher, Togher A, Cork, County Cork, Munster, T12 C8VW, Éire / Ireland"
POINT (-3.0100770317828953 53.82530491307814),"14 Heron Way, Staining, Blackpool, Lancashire, England, FY3 8FB",-3.0100770317828953,53.82530491307814,"Heron Way, Grange Park, Blackpool, England, FY3 8FA, United Kingdom"
POINT (-8.394369999130419 51.93339997992544),"4 Hazelwood Gardens, Riverstown, Cork",-8.394369999130419,51.93339997992544,"Hazelwood Gardens, Riverstown, Cork, County Cork, Munster, T45 DH05, Éire / Ireland"
POINT (-8.485539959969714 51.90099998465786),"Altus, 14 Sunday's Well Road, Cork",-8.485539959969714,51.90099998465786,"Upper Panorama Terrace, Sunday's Well B, Cork, County Cork, Munster, T23 TY7X, Éire / Ireland"
POINT (-8.442869995926912 51.91231000093384),"Old Youghal Road, Cork",-8.442869995926912,51.91231000093384,"Mayfield Community School, Cahergal Lawn, Mayfield, Cork, County Cork, Munster, T23 YHP1, Éire / Ireland"
POINT (-8.46773998274827 51.86593001795276),"19 Dunvale Crescent, Cork",-8.46773998274827,51.86593001795276,"Dunvale Crescent, Dunvale, Lehenagh, Cork, County Cork, Munster, T12 D899, Éire / Ireland"
POINT (-8.48851000354091 51.903939979106156),"6 Cathedral Road, Gurranebraher, Cork",-8.48851000354091,51.903939979106156,"Paddy Power, Gurranabraher Road, Garranabraher, Gurranabraher E, Cork, County Cork, Munster, T23 HK31, Éire / Ireland"
POINT (-8.473909985494771 51.891279994459495),"20 Maymount, Cork",-8.473909985494771,51.891279994459495,"Maymount, Evergreen, Cork, County Cork, Munster, T12 K765, Éire / Ireland"
POINT (-8.419198003166102 51.896338788032914),"Blackrock Road, Blackrock, Cork",-8.419198003166102,51.896338788032914,"Blackrock Station, Blackrock Station Bridge, Blackrock, Mahon A, Cork, County Cork, Munster, T12 Y0EH, Éire / Ireland"
POINT (-8.408215356371784 51.923569020628356),"6 Castlejane Cottages, Glanmire, Cork",-8.408215356371784,51.923569020628356,"Old Youghal Road, Rathcooney, Cork, County Cork, Munster, T45 HX28, Éire / Ireland"
POINT (-8.487950008589763 51.90125001682958),"311 Blarney Street, Cork",-8.487950008589763,51.90125001682958,"Blarney Street, Sunday's Well B, Cork, County Cork, Munster, T23 TY7X, Éire / Ireland"
POINT (-8.481657171305326 51.90005805797592),"Devonshire Street West, Cork",-8.481657171305326,51.90005805797592,"Pat McDonnell Paint, Devonshire Street West, The Marsh, Centre B ED, Cork, County Cork, Munster, T23 RHW2, Éire / Ireland"
POINT (-8.523630010207938 51.88211999921228),"1 Central Avenue, Cork",-8.523630010207938,51.88211999921228,"3, Central Avenue, Bishopstown ED C, Cork, County Cork, Munster, T12 Y9KT, Éire / Ireland"
POINT (-8.484460035564581 51.88448000787034),"218 Pearse Road, Ballyphehane, Cork",-8.484460035564581,51.88448000787034,"218, Pearse Road, Togher B, Cork, County Cork, Munster, T12 XF67, Éire / Ireland"
POINT (-8.393110031445104 51.87634998088532),"5 Manor Drive, Cork",-8.393110031445104,51.87634998088532,"Manor Drive, Rochestown, Douglas, Cork, County Cork, Munster, T12 ND82, Éire / Ireland"
POINT (-8.442009970751599 51.859350014412485),"22 The Glen, Douglas, Cork",-8.442009970751599,51.859350014412485,"The Glen, Donnybrook, Douglas, Cork, County Cork, Munster, T12 HVX5, Éire / Ireland"
POINT (-8.441939981860088 51.85927998361143),"22a The Glen, Douglas, Cork",-8.441939981860088,51.85927998361143,"The Glen, Donnybrook, Douglas, Cork, County Cork, Munster, T12 HVX5, Éire / Ireland"
POINT (-8.849977343902957 51.6217400927134),"Ballintemple, Cork",-8.849977343902957,51.6217400927134,"Templeomalus, The Municipal District of Bandon – Kinsale, County Cork, Munster, P85 AD80, Éire / Ireland"
POINT (-8.372337065633237 51.87774944861152),"Rochestown Road, Rochestown, Cork",-8.372337065633237,51.87774944861152,"Rochestown Wood House, Rochestown Road, Garryduff, Douglas, Cork, County Cork, Munster, T12 WV08, Éire / Ireland"
POINT (-8.471600016798646 51.905960017771434),"6 Goldsmiths Avenue, Cork",-8.471600016798646,51.905960017771434,"5, Goldsmith's Avenue, Blackpool ED B, Cork, County Cork, Munster, T23 YE35, Éire / Ireland"
POINT (-8.461739964998202 51.92403999246844),"60 Kinvara Avenue, Ballyvolane, Cork",-8.461739964998202,51.92403999246844,"Kinvara Avenue, St. Mary's, Cork, County Cork, Munster, T23 D215, Éire / Ireland"
POINT (-8.63051000453089 51.88331999438037),"13 Oak Avenue, Ballincollig, Cork",-8.63051000453089,51.88331999438037,"Oak Avenue, Classes Lake, Ovens, Cork, County Cork, Munster, P31 PK65, Éire / Ireland"
POINT (-8.487520016956864 51.91072001676574),"30 Bantry Park Road, Cork",-8.487520016956864,51.91072001676574,"Bantry Park Road, Fair Hill B, Cork, County Cork, Munster, T23 W08N, Éire / Ireland"
POINT (-8.371579999999938 51.87779000000006),"Rochestown, Cork",-8.371579999999938,51.87779000000006,"Rochestown Road, Garryduff, Douglas, Cork, County Cork, Munster, T12 WV08, Éire / Ireland"
POINT (-8.481699958667946 51.898159986314425),"10 Sheares Street, Cork",-8.481699958667946,51.898159986314425,"Woolshed Baa & Grill, Sheares Street, The Marsh, Centre B ED, Cork, County Cork, Munster, T12 CX7A, Éire / Ireland"
POINT (-8.389380000713004 51.92226998597488),"71 Fernwood, Glyntown, Cork",-8.389380000713004,51.92226998597488,"Fernwood, Caherlag ED, Cork, County Cork, Munster, T45 DH05, Éire / Ireland"
POINT (-8.515105201763292 51.87398829618747),"The Lodge, Cork",-8.515105201763292,51.87398829618747,"Garrane Dara, Inishkenny, Cork, County Cork, Munster, Éire / Ireland"
POINT (-8.439709976520248 51.87007000756918),"2 Kingslea, Douglas, Cork",-8.439709976520248,51.87007000756918,"Kingslea, Grange, Douglas, Cork, County Cork, Munster, T12 HVX5, Éire / Ireland"
POINT (-8.371579999999938 51.87779000000006),"Rochestown, Cork",-8.371579999999938,51.87779000000006,"Rochestown Road, Garryduff, Douglas, Cork, County Cork, Munster, T12 WV08, Éire / Ireland"
POINT (-8.511469964176172 51.89930000896533),"1 The Mews, Cork",-8.511469964176172,51.89930000896533,"Hollyhill, Shanakiel, Cork, County Cork, Munster, T23 R68N, Éire / Ireland"
POINT (-8.440480021964987 51.86373999429111),"1 The Mews, Douglas, Cork",-8.440480021964987,51.86373999429111,"The Lawn, Donnybrook, Douglas, Cork, County Cork, Munster, T12 HVX5, Éire / Ireland"
POINT (-8.399309999999957 51.92694000000006),"Glanmire, Cork",-8.399309999999957,51.92694000000006,"Barnavarna Road, Rathcooney, Cork, County Cork, Munster, T45 HX28, Éire / Ireland"
POINT (-8.622009960595504 51.88430718845678),"22 The Stables, Ballincollig, Cork",-8.622009960595504,51.88430718845678,"The Stables, Classes Lake, Ballincollig ED, Cork, County Cork, Munster, P31 AP58, Éire / Ireland"
POINT (-8.466180026748304 51.90169999930154),"1 Little William Street, Cork",-8.466180026748304,51.90169999930154,"3, Wellington Road, Victorian Quarter, St. Patrick's A, Cork, County Cork, Munster, T23 XF95, Éire / Ireland"
POINT (-8.45161001591552 51.883480004912),"17 Rosebank, Cork",-8.45161001591552,51.883480004912,"Rosebank Park, Rosebank, Tramore B, Cork, County Cork, Munster, T12 WV83, Éire / Ireland"
POINT (-8.503530038755173 51.87545001594137),"Inishowen, 1 The Headlands, Cork",-8.503530038755173,51.87545001594137,"The Headlands, Inishkenny, Cork, County Cork, Munster, T12 VY33, Éire / Ireland"
POINT (-8.455629976678466 51.88458000397523),"Lauderdale, Loreto Park, Cork",-8.455629976678466,51.88458000397523,"Loreto Park, Tramore B, Cork, County Cork, Munster, T12 WV83, Éire / Ireland"
POINT (-8.173260003409013 51.91327000125929),"Block A, APARTMENT 1 The Square, Midleton, Cork",-8.173260003409013,51.91327000125929,"Midleton Urban, The Municipal District of East Cork, County Cork, Munster, P25 E6F7, Éire / Ireland"
POINT (-8.530639963471629 51.88108998904056),"Ferville, Rossa Avenue, Cork",-8.530639963471629,51.88108998904056,"Hannover, 52, Rossa Avenue, Bishopstown ED B, Cork, County Cork, Munster, T12 HP29, Éire / Ireland"
POINT (-8.434519985893047 51.8931800042713),"67 Avondale Park, Cork",-8.434519985893047,51.8931800042713,"Ballintemple, Knockrea A, Cork, County Cork, Munster, T12 Y902, Éire / Ireland"
POINT (-8.459829980721622 51.896909993093885),"27 Hibernian Buildings, Cork",-8.459829980721622,51.896909993093885,"City Hall B ED, Cork, County Cork, Munster, T12 PP93, Éire / Ireland"
POINT (-8.500810027355698 51.90197999677713),"1 Monastery Avenue, Cork",-8.500810027355698,51.90197999677713,"1, Monastery Green, Knocknaheeny, Cork, County Cork, Munster, T23 N250, Éire / Ireland"
POINT (-8.534269998098836 51.8883400000112),"Parchment Square, APARTMENT 100 Model Farm Road, Cork",-8.534269998098836,51.8883400000112,"Parchment Square, Bishopstown ED B, Cork, County Cork, Munster, T12 HP29, Éire / Ireland"
POINT (-8.407650035064506 51.86834999912807),"2 Ardkeale, Cork",-8.407650035064506,51.86834999912807,"Ardkeale, Castletreasure, Garryduff, Douglas, Cork, County Cork, Munster, T12 ND82, Éire / Ireland"
POINT (-8.49337997310488 51.90442998516579),"28 Chapel Field, Gurranebraher, Cork",-8.49337997310488,51.90442998516579,"Chapel Field, Churchfield ED, Cork, County Cork, Munster, T23 HK31, Éire / Ireland"
POINT (-8.444829978255939 51.88592001883589),"Rosapenna, Browningstown Park West, Cork",-8.444829978255939,51.88592001883589,"Browningstown Park West, Browningstown ED, Cork, County Cork, Munster, T12 X789, Éire / Ireland"
POINT (-8.465368767253185 51.89417449526796),"50B South Terrace, Cork",-8.465368767253185,51.89417449526796,"Hurling Player, Anglesea Street, South Parish, South Gate A, Cork, County Cork, Munster, T12 A376, Éire / Ireland"
POINT (-8.564850030729957 51.93378998988018),"3 Millstream Row, Blarney, Cork",-8.564850030729957,51.93378998988018,"Public toilet (disused), Millstream Row, Blarney ED, Cork, County Cork, Munster, T23 VY22, Éire / Ireland"
POINT (-8.407956522863424 51.86392547896159),"27 Fort Hill, Douglas, Cork",-8.407956522863424,51.86392547896159,"Fort Hill, Douglas, Cork, County Cork, Munster, T12 ND82, Éire / Ireland"
POINT (-8.411040011984767 51.88747000037108),"12 Sharman Avenue, Blackrock, Cork",-8.411040011984767,51.88747000037108,"Sharman Avenue, Mahon, Mahon B, Cork, County Cork, Munster, T12 XK5R, Éire / Ireland"
POINT (-8.56710995946412 51.93672998432848),"71 Cluain Ard, Blarney, Cork",-8.56710995946412,51.93672998432848,"33, Cluain Ard, Blarney ED, Cork, County Cork, Munster, T23 VY22, Éire / Ireland"
POINT (-8.574877191643205 51.90273770822427),"Healy's Bridge, Cork",-8.574877191643205,51.90273770822427,"Blarney Road, Kerry Pike, Cloghroe, Cork, County Cork, Munster, T12 WT4A, Éire / Ireland"
POINT (-8.477549994586752 51.90583998891796),"13 Farren Street, Cork",-8.477549994586752,51.90583998891796,"Straw Hill, Shandon A, Cork, County Cork, Munster, T23 P27X, Éire / Ireland"
POINT (-8.427310040419599 51.8740400121892),"10 The Paddocks, Douglas, Cork",-8.427310040419599,51.8740400121892,"The Paddocks, Douglas, Cork, County Cork, Munster, T12 D5RC, Éire / Ireland"
POINT (-8.474780027044375 51.91645001150502),"101 Commons Road, Cork",-8.474780027044375,51.91645001150502,"101, Commons Road, Farranferris A, Cork, County Cork, Munster, T23 AN20, Éire / Ireland"
POINT (-8.502669971670343 51.87762000685447),"72 Southbury Road, Cork",-8.502669971670343,51.87762000685447,"Southbury Road, Wilton, Bishopstown ED E, Cork, County Cork, Munster, T12 YK23, Éire / Ireland"
POINT (-8.49529004120049 51.87726000411308),"12 Harley Wood, Cork",-8.49529004120049,51.87726000411308,"Harley Wood, Togher, Togher A, Cork, County Cork, Munster, T12 C8VW, Éire / Ireland"
POINT (-8.423800034645865 51.88755000563691),"53 Skehard Road, Cork",-8.423800034645865,51.88755000563691,"Skehard Road (Old Cliffe), Skehard Road, Mahon B, Cork, County Cork, Munster, T12 VHY0, Éire / Ireland"
POINT (-8.408215356371784 51.923569020628356),"63 Castlejane Cottages, Glanmire, Cork",-8.408215356371784,51.923569020628356,"Old Youghal Road, Rathcooney, Cork, County Cork, Munster, T45 HX28, Éire / Ireland"
POINT (-8.408215356371784 51.923569020628356),"55 Castlejane Cottages, Glanmire, Cork",-8.408215356371784,51.923569020628356,"Old Youghal Road, Rathcooney, Cork, County Cork, Munster, T45 HX28, Éire / Ireland"
POINT (-8.472469974529218 51.89393001696743),"6 Red Abbey Street, Cork",-8.472469974529218,51.89393001696743,"Red Abbey Street, South Parish, South Gate A, Cork, County Cork, Munster, T12 ETF1, Éire / Ireland"
POINT (-8.453900035682096 51.90923998221254),"11 Springmount Place, Cork",-8.453900035682096,51.90923998221254,"The National Tavern, 98, Old Youghal Road, Montenotte, Montenotte A, Cork, County Cork, Munster, T23 HN40, Éire / Ireland"
POINT (-8.444499982727933 51.86460001946642),"2 Glenside, Douglas, Cork",-8.444499982727933,51.86460001946642,"Glenside, Grange, Douglas, Cork, County Cork, Munster, T12 HVX5, Éire / Ireland"
POINT (-8.468829965437209 51.93711999428325),"The Bungalow, Kilcully, Cork",-8.468829965437209,51.93711999428325,"Rathcooney, Cork, County Cork, Munster, T23 HP30, Éire / Ireland"
POINT (-8.51018996374225 51.886830000154134),"12 Laburnum Lawn, Cork",-8.51018996374225,51.886830000154134,"Laburnum Lawn, Bishopstown ED C, Cork, County Cork, Munster, T12 R2NC, Éire / Ireland"
POINT (-8.495230026773754 51.86439998534712),"9 West Avenue, Lehenaghmore, Cork",-8.495230026773754,51.86439998534712,"Lehenaghmore, Lehenagh, Cork, County Cork, Munster, T12 ER23, Éire / Ireland"
POINT (-8.63119002833551 51.88438001176547),"25 The Elms, Ballincollig, Cork",-8.63119002833551,51.88438001176547,"The Elms, Classes Lake, Ovens, Cork, County Cork, Munster, P31 PK65, Éire / Ireland"
POINT (-8.475900016946667 51.9149100044346),"42 Cushing Road, Farranree, Cork",-8.475900016946667,51.9149100044346,"Cushing Road, Farranferris A, Cork, County Cork, Munster, T23 AN20, Éire / Ireland"
POINT (-8.650239998777522 51.872680006489475),"16 Grange Court, Grange, Cork",-8.650239998777522,51.872680006489475,"Manor Grove, Ballygroman ED, Municipal District of Macroom, County Cork, Munster, P31 D253, Éire / Ireland"
POINT (-8.429459998584093 51.869640015936284),"77 Welwyn Road, Douglas, Cork",-8.429459998584093,51.869640015936284,"Welwyn Road, Douglas, Cork, County Cork, Munster, T12 D5RC, Éire / Ireland"
POINT (-8.437650039995845 51.91310999072766),"77 Avonmore Park, Mayfield, Cork",-8.437650039995845,51.91310999072766,"Avonmore Park, Mayfield, Cork, County Cork, Munster, T23 N236, Éire / Ireland"
POINT (-8.472329996746197 51.90115999518949),"Camden Wharf, APARTMENT 1 Camden Quay, Cork",-8.472329996746197,51.90115999518949,"Gala, Camden Quay, Shandon A, Cork, County Cork, Munster, T23 X72D, Éire / Ireland"
POINT (-8.47208129673154 51.88693273822852),"Derrynane Road, Cork",-8.47208129673154,51.88693273822852,"Derrynane Road, Turner's Cross, Turner's Cross B, Cork, County Cork, Munster, T12 F650, Éire / Ireland"
POINT (-8.453979999038381 51.91523999996261),"Glenisle, Riverview Estate, Ballyvolane, Cork",-8.453979999038381,51.91523999996261,"Sunlea, North Ring Road, Dublin Hill, The Glen A, Cork, County Cork, Munster, T23 PX36, Éire / Ireland"
POINT (-8.492689974835457 51.87130998441546),"56 Palmbury, Cork",-8.492689974835457,51.87130998441546,"Palmbury, Lehenagh, Cork, County Cork, Munster, T12 HX36, Éire / Ireland"
POINT (-8.582239965248021 51.89265999099828),"206 The Willows, Ballincollig, Cork",-8.582239965248021,51.89265999099828,"RP 12, Willowcourt, Ballincollig ED, Cork, County Cork, Munster, P31 T660, Éire / Ireland"
POINT (-8.413239999999973 51.90044000000006),Cork,-8.413239999999973,51.90044000000006,"Marian Shrine, Blackrock Village, Blackrock, Mahon A, Cork, County Cork, Munster, T12 Y0EH, Éire / Ireland"
POINT (-8.500870041782434 51.906019990288655),"75 Harbour View Road, Knocknaheeny, Cork",-8.500870041782434,51.906019990288655,"Harbour View Road (Dunmanus Park), Harbour View Road, Hollyhill / Knocknaheeny, Knocknaheeny, Cork, County Cork, Munster, T23 N250, Éire / Ireland"
POINT (-8.448320141810003 51.88974692740319),"Ballinlough Road, Cork",-8.448320141810003,51.88974692740319,"Pic Du Jer Park, Ballinlough Road, Ballinlough, Ballinlough ED C, Cork, County Cork, Munster, T12 X789, Éire / Ireland"
POINT (-8.493430013066813 51.87240998347869),"65 Palmbury Orchard, Cork",-8.493430013066813,51.87240998347869,"Palmbury Orchard, Palmbury, Lehenagh, Cork, County Cork, Munster, T12 HX36, Éire / Ireland"
POINT (-8.46717001333235 51.88689001458087),"15 O'Connell Crescent, Cork",-8.46717001333235,51.88689001458087,"O'Connell Crescent, Turner's Cross, Turner's Cross B, Cork, County Cork, Munster, T12 H568, Éire / Ireland"
POINT (-8.467079991692259 51.89418998169441),"Block B, APARTMENT 14 South Terrace, Cork",-8.467079991692259,51.89418998169441,"South Terrace (Opp Irish Pensions), South Terrace, South Parish, South Gate A, Cork, County Cork, Munster, T12 KD37, Éire / Ireland"
POINT (-9.169299999999964 51.601500000000044),"Ballinlough, Skibbereen, Cork",-9.169299999999964,51.601500000000044,"Knockskagh, West Cork, County Cork, Munster, P81 YN96, Éire / Ireland"
POINT (-8.47722253270855 51.8952396661649),"French's Quay, Cork",-8.47722253270855,51.8952396661649,"Denis J. Fordes & Sons, French's Quay, South Gate B, Cork, County Cork, Munster, T12 H64V, Éire / Ireland"
POINT (-8.475630035845398 51.90509999259612),"18 Lower Barrack View, Cork",-8.475630035845398,51.90509999259612,"Lower Barrack View, Shandon A, Cork, County Cork, Munster, T23 P27X, Éire / Ireland"
